25-11-05 10:41:55 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/users
25-11-05 10:41:55 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/users
25-11-05 10:41:55 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/users/149
25-11-05 10:41:55 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/users/149
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-05 10:41:55 |   INFO   |     USERS_ASSERTIONS      | Check user
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 149
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that "name" equals to Hayley
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that "role" equals to customer
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that "email" equals to thompsonjoseph@example.com
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that "password" equals to Y9EIPvnfjk
25-11-05 10:41:55 |   INFO   |      BASE_ASSERTIONS      | Check that "avatar" equals to https://white.com/categorieshomepage.htm
25-11-05 10:41:55 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
