25-10-31 21:07:42 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/users
25-10-31 21:07:42 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/users
25-10-31 21:07:42 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/users/336
25-10-31 21:07:42 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/users/336
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-10-31 21:07:42 |   INFO   |     USERS_ASSERTIONS      | Check user
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 336
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that "name" equals to Cameron
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that "role" equals to customer
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that "email" equals to zwilson@example.net
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that "password" equals to QQL9k76P3M
25-10-31 21:07:42 |   INFO   |      BASE_ASSERTIONS      | Check that "avatar" equals to https://stevens.com/blog/list/taglogin.asp
25-10-31 21:07:42 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
